time,iID,jID,tau,correlation
51,12,2,1,0.8607411396279594
51,12,4,8,0.9722455700426742
51,12,7,29,0.9085417247664519
51,12,10,3,0.8215837916453372
51,12,11,19,0.9702871469904774
52,1,2,9,0.9087776709945088
52,1,4,19,0.7832118077215758
52,2,7,8,0.7248074209211218
52,4,1,12,0.8819334649537826
52,4,2,5,0.9451383292270957
52,4,10,7,0.8671577131677911
52,4,11,6,0.9503397709878266
52,4,12,18,0.9442613271689575
52,5,2,28,0.808368935806868
52,5,6,10,0.9542794392257262
52,5,7,5,0.9583819574304148
52,5,10,31,0.8477897045209642
52,6,5,22,0.9406937333154411
52,6,7,10,0.8997684459490485
52,6,10,23,0.7640132636433266
52,7,1,24,0.8754145263128802
52,7,2,2,0.9024132658992026
52,7,4,28,0.9092956651082005
52,7,10,4,0.7934273535499686
52,7,11,21,0.9481164702346566
52,7,12,14,0.8914569056492008
52,8,9,16,0.9883087953929793
52,9,8,17,0.9316636570774764
52,10,5,30,0.8849567212381011
52,10,6,24,0.9093137095995087
52,10,7,4,0.822455563514116
52,11,1,1,0.7937980257271934
52,11,4,1,0.9112592534274181
52,11,5,4,0.7355590393327004
52,11,12,24,0.9489787974859119
52,12,1,22,0.9365385102823938
52,12,2,1,0.8731478037351588
52,12,4,8,0.9718983403503839
52,12,7,29,0.8524979122082073
52,12,10,3,0.8274241737258597
52,12,11,19,0.973663426368032
53,1,2,9,0.9136865212600443
53,1,4,19,0.8025758579237767
53,1,11,11,0.7160341829633093
53,1,12,23,0.720738735948599
53,2,7,8,0.7789236257330894
53,4,1,27,0.885930226256875
53,4,2,5,0.9509955800413178
53,4,10,7,0.8975589022263387
53,4,11,6,0.940941780859276
53,4,12,18,0.9145347614297273
53,5,2,28,0.7893554023529968
53,5,6,10,0.9566851482946328
53,5,7,5,0.9608362019282866
53,5,10,31,0.8565274091477093
53,6,5,22,0.9379878622933753
53,6,7,10,0.8978639427351073
53,7,1,24,0.8308060849870381
53,7,2,2,0.8299581352407275
53,7,4,10,0.8710151358348974
53,7,10,4,0.7082124532403811
53,7,11,3,0.9199330643110757
53,7,12,14,0.8985440827063911
53,8,9,16,0.988272171743427
53,9,8,17,0.93546842104858
53,10,5,30,0.8804420397447262
